10/04/2006-09:00:00 7.257 2.82 83.471 145.86 277.637 0
10/04/2006-10:00:00 11.18 2.82 64.011 444.574 293.139 0
10/04/2006-11:00:00 11.18 2.82 64.011 444.574 293.139 0
10/04/2006-12:00:00 11.18 2.82 64.011 444.574 293.139 0
10/04/2006-13:00:00 14.443 2.82 51.645 453.509 306.515 0
10/04/2006-14:00:00 14.443 2.82 51.645 453.509 306.515 0
10/04/2006-15:00:00 14.443 2.82 51.645 453.509 306.515 0
10/04/2006-16:00:00 14.426 2.82 51.657 164.191 306.421 0
10/04/2006-17:00:00 14.426 2.82 51.657 164.191 306.421 0
10/04/2006-18:00:00 14.426 2.82 51.657 164.191 306.421 0
10/04/2006-19:00:00 12.57 2.82 58.245 0 298.727 0
10/04/2006-20:00:00 12.57 2.82 58.245 0 298.727 0
10/04/2006-21:00:00 12.57 2.82 58.245 0 298.727 0
10/04/2006-22:00:00 9.998 2.82 69.019 0 288.311 0
10/04/2006-23:00:00 9.998 2.82 69.019 0 288.311 0
10/04/2006-24:00:00 9.998 2.82 69.019 0 288.311 0
10/05/2006-01:00:00 7.569 2.11 81.279 0 285.031 0
10/05/2006-02:00:00 7.569 2.11 81.279 0 285.031 0
10/05/2006-03:00:00 7.569 2.11 81.279 0 285.031 0
10/05/2006-04:00:00 6.143 2.11 89.569 0 279.374 0
10/05/2006-05:00:00 6.143 2.11 89.569 0 279.374 0
10/05/2006-06:00:00 6.143 2.11 89.569 0 279.374 0
10/05/2006-07:00:00 6.983 2.11 82.491 129.343 282.166 0
10/05/2006-08:00:00 6.983 2.11 82.491 129.343 282.166 0
10/05/2006-09:00:00 6.983 2.11 82.491 129.343 282.166 0
10/05/2006-10:00:00 10.202 2.11 63.887 401.261 294.303 0
10/05/2006-11:00:00 10.202 2.11 63.887 401.261 294.303 0
10/05/2006-12:00:00 10.202 2.11 63.887 401.261 294.303 0
10/05/2006-13:00:00 12.879 2.11 51.474 409.762 304.535 0
10/05/2006-14:00:00 12.879 2.11 51.474 409.762 304.535 0
